name	lsid	uses	sources	family	page
Xanthosoma sagittifolium (L.) Schott	89373-1	AF EU GS HF MA ME PO	CWR	Xanthosoma	5
Cycas apoa K.D.Hill	980285-1	ME	[4, 5]	Cycadaceae	12
Cycas circinalis L.	328822-2	HF ME PO SU	[1, 4, 5]	Cycadaceae	12
Cycas inermis Lour.	297004-1	ME	[4]	Cycadaceae	12
Cycas media R.Br.	297013-1	ME	[4]	Cycadaceae	12
Cycas micronesica K.D.Hill	980286-1	HF ME	[4, 5]	Cycadaceae	12
Cycas pectinata Buch.-Ham.	297022-1	HF ME	[4, 7]	Cycadaceae	12
Cycas revoluta Thunb.	328823-2	EU GS HF MA ME	[1, 3, 4, 5, 7, 8]	Cycadaceae	12
Cycas rumphii Miq.	326820-2	EU GS HF IF MA ME PO SU	[1, 3, 4, 5, 7, 8]	Cycadaceae	12
Cycas siamensis Miq.	297036-1	EU HF ME	[3, 4, 7]	Cycadaceae	12
Cycas taiwaniana Carruth.	297043-1	EU	[3]	Cycadaceae	12
Cycas thouarsii R.Br.	297044-1	EU GS HF	[3, 8]	Cycadaceae	12
Bowenia serrulata (W.Bull) Chamb.	296944-1	EU ME PO	[3, 4]	Zamiaceae	12
Bowenia spectabilis Hook.	296945-1	EU ME	[3, 4]	Zamiaceae	12
Ceratozamia mexicana Brongn.	296967-1	EU	[3]	Zamiaceae	12
Ceratozamia robusta Miq.	274315-2	EU	[3]	Zamiaceae	12
Dioon edule Lindl.	30164992-2	EU ME	[3, 4]	Zamiaceae	12
Dioon mejiae Standl. & L.O.Williams	80653-2	EU	[3]	Zamiaceae	12
Dioon spinulosum Dyer ex Eichl.	297061-1	EU	[3]	Zamiaceae	12
Encephalartos altensteinii Lehm.	297067-1	MA ME	[1, 4]	Zamiaceae	12
Encephalartos aplanatus Vorster	988638-1	ME	[4]	Zamiaceae	12
Encephalartos arenarius R.A.Dyer	871771-1	ME	[4]	Zamiaceae	12
Encephalartos barteri Carruth. ex Miq.	297068-1	EU HF MA ME PO SU	[4, 8, 11]	Zamiaceae	12
Encephalartos bubalinus Melville	871772-1	EU	[8]	Zamiaceae	12
Encephalartos caffer (Thunb.) Lehm.	297071-1	MA	[1]	Zamiaceae	12
Encephalartos concinnus R.A.Dyer & I.Verd.	871774-1	EU	[3]	Zamiaceae	12
Encephalartos cupidus R.A.Dyer	871775-1	EU	[3]	Zamiaceae	12
Encephalartos cycadifolius (Jacq.) Lehm.	297076-1	MA ME	[1, 4]	Zamiaceae	12
Encephalartos eugene-maraisii I.Verd.	297082-1	ME	[4]	Zamiaceae	12
Encephalartos friderici-guilielmi Lehm.	297086-1	EU ME	[3, 4]	Zamiaceae	12
Encephalartos heenanii R.A.Dyer	871777-1	ME	[4]	Zamiaceae	12
Encephalartos hildebrandtii A.Braun & C.D.Bouché	297092-1	EU HF MA ME PO SU	[4, 7, 8, 10]	Zamiaceae	12
Encephalartos horridus (Jacq.) Lehm.	297093-1	EU ME	[3, 4]	Zamiaceae	12
Encephalartos humilis I.Verd.	297094-1	EU	[3]	Zamiaceae	12
Encephalartos laevifolius Stapf & Burtt Davy	297098-1	ME	[4]	Zamiaceae	12
Encephalartos lanatus Stapf & Burtt Davy	297099-1	ME	[4]	Zamiaceae	12
Encephalartos lebomboensis I.Verd.	297106-1	ME	[4]	Zamiaceae	12
Encephalartos lehmannii Lehm.	297107-1	EU MA	[1, 3]	Zamiaceae	12
Encephalartos longifolius (Jacq.) Lehm.	297110-1	ME	[4]	Zamiaceae	12
Encephalartos natalensis R.A.Dyer & I.Verd.	297120-1	ME	[4]	Zamiaceae	12
Encephalartos ngoyanus I.Verd.	297121-1	EU ME	[3, 4]	Zamiaceae	12
Encephalartos paucidentatus Stapf & Burtt Davy	297123-1	ME	[4]	Zamiaceae	12
Encephalartos poggei Asch.	297125-1	EU GS HF	[8]	Zamiaceae	12
Encephalartos septentrionalis Schweinf. ex Eichler	297134-1	ME	[4]	Zamiaceae	12
Encephalartos transvenosus Stapf & Burtt Davy	297138-1	ME	[4]	Zamiaceae	12
Encephalartos trispinosus (Hook.f.) R.A.Dyer	871785-1	EU	[3]	Zamiaceae	12
Encephalartos umbeluziensis R.A.Dyer	297140-1	EU	[3]	Zamiaceae	12
Encephalartos villosus Lem.	297144-1	EU ME	[3, 4]	Zamiaceae	12
Lepidozamia hopei (W.Hill) Regel	297149-1	EU HF MA PO	[3, 7]	Zamiaceae	12
Lepidozamia peroffskyana Regel	297151-1	EU HF MA PO	[1, 3, 7]	Zamiaceae	12
Macrozamia communis L.A.S.Johnson	871786-1	EU ME PO	[3, 4]	Zamiaceae	12
Macrozamia douglasii W.Hill ex F.M.Bailey	871788-1	ME	[4]	Zamiaceae	12
Macrozamia fawcettii C.Moore	297167-1	EU	[3]	Zamiaceae	12
Macrozamia heteromera C.Moore	297173-1	ME PO	[3, 4]	Zamiaceae	12
Macrozamia lucida L.A.S.Johnson	871789-1	EU PO	[3]	Zamiaceae	12
Macrozamia macdonnellii (F.Muell. ex Miq.) A.DC.	59233-3	ME	[4]	Zamiaceae	12
Macrozamia miquelii (F.Muell.) A.DC.	297183-1	EU ME PO	[3, 4]	Zamiaceae	12
Macrozamia moorei F.Muell.	59481-3	EU ME PO	[3, 4]	Zamiaceae	12
Macrozamia pauli-guilielmi W.Hill & F.Muell.	297187-1	ME PO	[3, 4]		13
Macrozamia riedlei (Dum.Cours.) C.A.Gardner	60072-3	EU ME PO	[3, 4]		13
Macrozamia spiralis (Salisb.) Miq.	297199-1	EU MA ME	[1, 3, 4]		13
Microcycas calocoma (Miq.) A.DC.	1075555-2	EU ME	[3, 4]		13
Stangeria eriopus (Kunze) Baill.	821923-1	EU MA ME	[1, 3, 4]		13
Zamia acuminata Oerst. ex Dyer	297237-1	EU	[3]		13
Zamia angustifolia Jacq.	270503-2	EU	[3]		13
Zamia chigua Seem.	297256-1	EU	[3]		13
Zamia fairchildiana L.D.Gómez	270518-2	EU	[3]		13
Zamia furfuracea L.f. ex Aiton	270522-2	EU ME	[3, 4]		13
Zamia integrifolia L.f.	270527-2	ME	[4]		13
Zamia loddigesii Miq.	297327-1	EU ME	[3, 4]		13
Zamia muricata Willd.	270552-2	EU	[3]		13
Zamia pumila L.	270561-2	EU HF MA ME PO	[1, 3, 4, 7]		13
Zamia pygmaea Sims	270563-2	EU	[3]		13
Zamia roezlii Regel ex Linden	297372-1	EU	[3]		13
Zamia skinneri Warsz. ex A.Dietr.	297378-1	EU ME	[3, 4]		13
Zamia standleyi Schutzman	287154-2	EU	[3]		13
Zamia verschaffeltii Miq.	297405-1	EU	[3]		13
Ginkgo biloba L.	262125-1	EU HF MA ME	[1, 3, 4, 7]	Ginkgoaceae	13
Ephedra alata Decne.	383343-1	AF EU MA ME	[1, 4, 9]	Ephedraceae	13
Ephedra altissima Desf.	60459745-2	MA ME	[1, 4]	Ephedraceae	13
Ephedra americana Humb. & Bonpl. ex Willd.	383352-1	ME	[1, 4, 9]	Ephedraceae	13
Ephedra antisyphilitica Berland. ex C.A.Mey.	383355-1	ME	[4]	Ephedraceae	13
Ephedra aphylla Forssk.	383356-1	MA ME	[1, 4]	Ephedraceae	13
Ephedra aspera Engelm. ex S.Watson	383362-1	ME	[4]	Ephedraceae	13
Ephedra breana Phil.	91122-2	ME	[4]	Ephedraceae	13
Ephedra californica S.Watson	383367-1	AF EU MA ME	[1, 3, 4, 9]	Ephedraceae	13
Ephedra chilensis C.Presl	329491-2	ME	[4]	Ephedraceae	13
Ephedra compacta Rose	91125-2	ME	[4]	Ephedraceae	13
Ephedra coryi E.L.Reed	91126-2	ME	[3, 4]	Ephedraceae	13
Ephedra cutleri Peebles	91128-2	ME	[4]	Ephedraceae	13
Ephedra dahurica Turcz.	383378-1	ME	[4]	Ephedraceae	13
Ephedra distachya L.	383381-1	MA ME	[1, 3, 4]	Ephedraceae	13
Ephedra equisetina Bunge	928049-1	ME	[1, 3, 4]	Ephedraceae	13
Ephedra fasciculata A.Nelson	383389-1	AF ME	[4, 9]	Ephedraceae	13
Ephedra foeminea Forssk.	383392-1	MA ME	[1, 4]	Ephedraceae	13
Ephedra foliata Boiss. ex C.A.Mey.	326016-1	HF MA ME	[1, 4, 9]	Ephedraceae	13
Ephedra fragilis Desf.	383397-1	AF MA ME	[1, 2, 4, 9]	Ephedraceae	13
Ephedra frustillata Miers	383398-1	ME	[4]	Ephedraceae	13
Ephedra gerardiana Wall. ex Klotzsch & Garcke	60470164-2	MA ME	[3, 4, 9]	Ephedraceae	13
Ephedra intermedia Schrenk & C.A.Mey.	383409-1	ME	[1, 3, 4]	Ephedraceae	13
Ephedra likiangensis Florin	383413-1	ME	[3, 4]	Ephedraceae	13
Ephedra major Host	383420-1	AF ME	[1, 2, 3, 4, 9]	Ephedraceae	13
Ephedra minuta Florin	383425-1	ME	[4]	Ephedraceae	13
Ephedra monosperma J.G.Gmel. ex C.A.Mey.	1008173-1	ME	[4]	Ephedraceae	13
Ephedra multiflora Phil. ex Stapf	383431-1	ME	[4]	Ephedraceae	13
Ephedra nevadensis S.Watson	383434-1	AF EU HF MA ME	[1, 3, 4, 9]	Ephedraceae	13
Ephedra ochreata Miers	276559-2	ME	[4]	Ephedraceae	13
Ephedra pachyclada Boiss.	383437-1	MA ME	[4, 9]	Ephedraceae	13
Ephedra pedunculata Engelm. ex S.Watson	383441-1	AF MA ME	[4, 9]	Ephedraceae	13
Ephedra przewalskii Stapf	383449-1	EU ME	[4, 9]	Ephedraceae	13
Ephedra sinica Stapf	383460-1	ME PO	[1, 3, 4]	Ephedraceae	13
Ephedra torreyana S.Watson	30155955-2	ME	[3, 4]	Ephedraceae	13
Ephedra triandra Tul.	383468-1	ME	[4]	Ephedraceae	13
Ephedra trifurca Torr. ex S.Watson	383471-1	ME	[3, 4]	Ephedraceae	13
Ephedra tweedieana C.A.Mey.	383472-1	ME	[4]	Ephedraceae	13
Ephedra viridis Coville	91144-2	EU ME	[3, 4]		14
Gnetum africanum Welw.	383499-1	GS HF MA ME	[1, 3, 4, 8, 11]	Gnetaceae	14
Gnetum buchholzianum Engl.	383505-1	GS HF MA ME	[3, 4, 8, 11]	Gnetaceae	14
Gnetum costatum K.Schum.	383510-1	ME	[4, 5]	Gnetaceae	14
Gnetum cuspidatum Blume	383512-1	ME	[4, 7]	Gnetaceae	14
Gnetum edule (Willd.) Blume	383515-1	MA ME PO	[4]	Gnetaceae	14
Gnetum gnemon L.	383520-1	AF FU HF IF MA ME PO SU	[1, 3, 4, 5, 7]	Gnetaceae	14
Gnetum gnemonoides Brongn.	383521-1	HF MA ME PO	[4, 5, 7]	Gnetaceae	14
Gnetum latifolium Blume	383530-1	HF MA ME	[4, 5, 7]	Gnetaceae	14
Gnetum luofuense C.Y.Cheng	383537-1	ME	[4]	Gnetaceae	14
Gnetum macrostachyum Hook.f.	383540-1	MA ME	[1, 4]	Gnetaceae	14
Gnetum microcarpum Blume	383542-1	MA ME	[4]	Gnetaceae	14
Gnetum montanum Markgr.	383546-1	HF MA ME	[3, 4]	Gnetaceae	14
Gnetum neglectum Blume	383547-1	MA	[1, 7]	Gnetaceae	14
Gnetum parvifolium (Warb.) W.C.Cheng	383557-1	ME	[4]	Gnetaceae	14
Gnetum tenuifolium Ridl.	383572-1	HF ME	[4, 7]	Gnetaceae	14
Welwitschia mirabilis Hook.f.	383591-1	AF EU GS HF ME	[4, 9]	Welwitschiaceae	14
Acorus calamus L.	84009-1	EU GS HF IF MA ME PO SU	[1, 3, 4, 5, 7, 8,	Acoraceae	14
Acorus gramineus Aiton	84019-1	EU ME	[3, 4, 7]	Acoraceae	14
Albidella oligococca (F.Muell.) Lehtonen	77163628-1	ME	[4]	Alismataceae	14
Alisma canaliculatum A.Braun & C.D.Bouché	327944-2	ME	[4]	Alismataceae	14
Alisma lanceolatum With.	1047073-2	ME	[4]	Alismataceae	14
Alisma plantago-aquatica L.	30019518-2	HF MA ME	[1, 3, 4]	Alismataceae	14
Alisma subcordatum Raf.	8509-2	ME	[4]	Alismataceae	14
Aquarius cordifolius (L.) Christenh. & Byng	77182733-1	EU		Alismataceae	14
Aquarius floribundus (Seub.) Christenh. & Byng	77183476-1	ME	[4]	Alismataceae	14
Byng	77182824-1	EU ME	[4]	Alismataceae	14
Aquarius grisebachii (Small) Christenh. & Byng	77183004-1	EU		Byng	14
Aquarius horizontalis (Rataj) Christenh. & Byng	77183523-1	EU		Byng	14
Aquarius macrophyllus (Kunth) Christenh. & Byng	77183178-1	EU ME	[4]	Byng	14
Aquarius paniculatus (Micheli) Christenh. & Byng	77182731-1	ME	[4]	Byng	14
Aquarius uruguayensis (Arechav.) Christenh. & Byng	77182561-1	EU		Byng	14
Burnatia enneandra Micheli	58280-1	HF	[11]	Byng	14
Butomopsis latifolia (D.Don) Kunth	58284-1	ME	[4]	Byng	14
Caldesia parnassifolia (Bassi) Parl.	58293-1	HF ME	[4, 5, 11]	Byng	14
Echinodorus berteroi (Spreng.) Fassett	88149-2	EU	[3]	Byng	14
Helanthium bolivianum (Rusby) Lehtonen & Myllys	77089409-1	EU	[3]	Byng	14
Helanthium tenellum (Mart. ex Schult.f.) J.G.Sm.	118649-2	EU	[3]	Byng	14
Buchenau	58399-1	ME	[4]	Byng	14
Limnocharis flava (L.) Buchenau	58404-1	AF EU HF	[3, 7]	Buchenau	14
Limnophyton angolense Buchenau	58413-1	ME	[4]	Buchenau	14
Limnophyton obtusifolium (L.) Miq.	58415-1	HF MA ME	[4, 8, 10, 11]	Buchenau	14
