Abelia ×grandiflora
Abelmoschus esculentus
Abies amabilis
Abies balsamea
Abies concolor
Abies fraseri
Abies grandis
Abies lasiocarpa
Abies magnifica
Abies procera
Abildgaardia ovata
Abroma augustum
Abronia angustifolia
Abrus precatorius
Acacia cyclops
Acacia koa
Acacia koaia
Acacia longifolia
Acacia melanoxylon
Acaena novae-zelandiae
Acalypha alopecuroidea
Acalypha virginica
Acamptopappus sphaerocephalus
Acanthocereus tetragonus
Acarospora albomarginata
Acarospora desolata
Acarospora schleicheri
Acer circinatum
Acer floridanum
Acer ginnala
Acer glabrum
Acer grandidentatum
Acer macrophyllum
Acer negundo
Acer nigrum
Acer pensylvanicum
Acer platanoides
Acer pseudoplatanus
Acer rubrum
Acer saccharinum
Acer saccharum
Acer spicatum
Achillea millefolium
Achnatherum aridum
Achnatherum hymenoides
Achnatherum lemmonii
Achnatherum lettermanii
Achnatherum nelsonii
Achnatherum occidentale
Achnatherum speciosum
Achnatherum thurberianum
Achyranthes aspera
Acinos arvensis
Acisanthera quadrata
Acmella oppositifolia
Acnistus arborescens
Acoelorraphe wrightii
Aconitum columbianum
Acorus americanus
Acorus calamus
Acrobolbus ciliatus
Acrocomia totai
Acrolejeunea heterophylla
Acroscyphus sphaerophoroides
Actinidia chinensis
Actinostachys digitata
Adelococcus alpestris
Adelolecia kolaensis
Adenophorus haalilioanus
Adenophyllum porophylloides
Adenosma javanica
Adenostoma fasciculatum
Adiantum capillus-veneris
Adiantum pedatum
Adoxa moschatellina
Aechmea lingulata
Aegilops speltoides
Aesculus californica
Aesculus flava
Aesculus glabra
Aesculus pavia
Aesculus sylvatica
Aesculus ×bushii
Agalinis maritima
Agalinis obtusifolia
Agarista populifolia
Agastache parvifolia
Agastache urticifolia
Agave americana
Agave utahensis
Agave ×arizonica
Aglaia mariannensis
Aglaonema pictum
Agoseris aurantiaca
Agoseris glauca
Agoseris grandiflora
Agrestia hispida
Agrimonia gryposepala
Agrimonia parviflora
Agrimonia rostellata
Agrimonia striata
Agropyron cristatum
Agropyron desertorum
Agropyron fragile
Agrostemma brachyloba
Agrostis canina
Agrostis capillaris
Agrostis exarata
Agrostis gigantea
Agrostis hyemalis
Agrostis idahoensis
Agrostis pallens
Agrostis perennans
Agrostis scabra
Agrostis stolonifera
Ahtiana aurescens
Ailanthus altissima
Ajuga reptans
Akebia ×pentaphylla
Albizia julibrissin
Alchornea latifolia
Alectoria nigricans
Aletes acaulis
Aleurites moluccanus
Aliciella caespitosa
Alisma gramineum
Alisma plantago-aquatica
Alisma subcordatum
Allamanda hendersonii
Allenrolfea occidentalis
Alliaria petiolata
Allium acuminatum
Allium brandegeei
Allium douglasii
Allium textile
Allium tolmiei
Allium validum
Alnus glutinosa
Alnus incana
Alnus maritima
Alnus rhombifolia
Alnus rubra
Alnus serrulata
Alnus viridis
Aloina bifrons
Alopecurus aequalis
Alopecurus arundinaceus
Alopecurus carolinianus
Alopecurus geniculatus
Alopecurus magellanicus
Alopecurus myosuroides
Alopecurus pratensis
Alophia drummondii
Aloysia gratissima
Alsophila amintae
Alternanthera philoxeroides
Amandinea coniops
Amaranthus californicus
Amaranthus tuberculatus
Amblystegium varium
Ambrosia dumosa
Amelanchier alnifolia
Amelanchier arborea
Amelanchier canadensis
Amelanchier laevis
Amelanchier obovalis
Amelanchier pumila
Amelanchier sanguinea
Amelanchier utahensis
Amerorchis rotundifolia
Ammannia coccinea
Ammophila arenaria
Ammophila breviligulata
Amorpha canescens
Amorpha fruticosa
Amorpha glabra
Ampelopsis aconitifolia
Ampelopsis cordata
Amphitecna latifolia
Amsinckia lycopsoides
Amsinckia menziesii
Amygdalaria elegantior
Amyris elemifera
Anacolia menziesii
Anagallis arvensis
Ananas comosus
Anaphalis margaritacea
Anastrepta orcadensis
Ancistrocactus scheeri
Andira inermis
Andreaea heinemannii
Andreaeobryum macrosporum
Andropogon gerardii
Andropogon glomeratus
Andropogon hallii
Andropogon ternarius
Andropogon virginicus
Anemia adiantifolia
Anemone multifida
Anemopsis californica
Anetium citrifolium
Aneura maxima
Angelica arguta
Aniba bracteata
Anisacanthus thurberi
Anisomeridium ambiguum
Anisomeridium subprostans
Anisomeridium terminatum
Annona cherimola
Annona glabra
Annona muricata
Annona reticulata
Annona squamosa
Anomobryum filiforme
Anomodon minor
Anredera vesicaria
Antennaria anaphaloides
Antennaria corymbosa
Antennaria dimorpha
Antennaria luzuloides
Antennaria microphylla
Antennaria neglecta
Anthelia julacea
Anthoceros adscendens
Anthoceros agrestis
Antidaphne wrightii
Antrophyum cajenense
Anzina carneonivea
Apios americana
Apocynum cannabinum
Apometzgeria pubescens
Aponogeton distachyos
Apotreubia nana
Aptenia cordifolia
Apteria aphylla
Aquilegia coerulea
Aquilegia formosa
Arabis drummondii
Arabis holboellii
Arabis platysperma
Arabis ×divaricarpa
Arachis hagenbeckii
Aralia nudicaulis
Aralia spinosa
Araucaria heterophylla
Araujia sericifera
Arbutus arizonica
Arbutus menziesii
Arceuthobium pusillum
Arceuthobium tsugense
Archidium alternifolium
Arctagrostis latifolia
Arctomia interfixa
Arctophila fulva
Arctostaphylos alpina
Arctostaphylos columbiana
Arctostaphylos glauca
Arctostaphylos manzanita
Arctostaphylos nevadensis
Arctostaphylos nummularia
Arctostaphylos patula
Arctostaphylos pungens
Arctostaphylos uva-ursi
Arctostaphylos ×campbelliae
Arenaria capillaris
Arenaria kingii
Arenaria ludens
Arenaria macradenia
Argemone albiflora
Argemone polyanthemos
Argentina anserina
Argyreia nervosa
Arisaema triphyllum
Aristida arizonica
Aristida divaricata
Aristida purpurea
Aristida stricta
Aristolochia bilabiata
Armeria maritima
Armoracia rusticana
Arnellia fennica
Arnica amplexicaulis
Arnica chamissonis
Arnica cordifolia
Arnica frigida
Arnica fulgens
Arnica latifolia
Arnica lonchophylla
Arnica longifolia
Arnica mollis
Arnica ×diversifolia
Aronia arbutifolia
Aronia melanocarpa
Arrhenatherum elatius
Artemisia arbuscula
Artemisia arctica
Artemisia cana
Artemisia frigida
Artemisia furcata
Artemisia ludoviciana
Artemisia nova
Artemisia rigida
Artemisia tilesii
Artemisia tridentata
Artemisia tripartita
Arthonia anjutii
Arthonia ochrocincta
Arthonia ravenelii
Arthonia viridicans
Arthopyrenia analepta
