+Crataegomespilus dardarii
Abobra tenuifolia
Abutilon menziesii
Acacia cheelii
Acacia glandulicarpa
Acacia menzelii
Acacia rubida
Acaciella suffrutescens
Acantholimon avenaceum
Acarospora instrata
Acer erianthum
Acetosella acetosella
Achnatherum brachychaetum
Aciphylla congesta
Acomastylis macrantha
Acriopsis spp.
Actinidia fortunatii
Adelia spp.
Adenophora stricta
Adiantum polyphyllum
Aechmea mexicana
Aeonium simsii
Aeschynomene pinetorum
Afrocarpus mannii
Agapetes rugosus
Agave gentryi
Agave weberi
Agoseris glauca
Agropyron podperae
Agrostis hygrometrica
Ailanthus excelsa
Albizia falcata
Alchornea laxiflora
Alectra thyrsoidea
Alisma gramineum
Allium auriculatum
Allium formosum
Allium moschatum
Allium schoenoprasum
Allocarya greenei
Alnus matsumurae
Aloe broomii
Aloe versicolor
Alpinia caerulea
Alsophila dryopteroides
Alternanthera philoxeroides
Alyssum scutigerum
Amaranthus pumilus
Ambrosia confertiflora
Amerosedum leibergii
Amorpha roemeriana
Amphilophium gnaphalanthum
Amyris elemifera
Anaphalis triplinervis
Ancistrotropis peduncularis
Andropogon gracilis
Androsace rotundifolia
Anemone piperi
Angelica sylvestris
Anisomeridium juistense
Annona squamosa
Antennaria bracteosa
Antennaria oblanceolata
Anthenantia villaregalis
Anthoshorea javanica
Anthurium trinervium
Antitrichia californica
Aphyllon tuberosum
Aponogeton natans
Aquilegia oxysepala
Arabis heterophylla
Arabis williamsii
Aragallus atropurpureus
Archidium donnellii
Arctostaphylos nortensis
Ardisia tinifolia
Arenaria stenophylla
Argyrolobium adscendens
Arisaema heterophyllum
Aristida parishii
Aristolochia warmingii
Arnica parviflora
Artemisia borealis
Artemisia prescottiana
Arthonia impolita
Arthopyrenia plumbaria
Artocarpus lanceifolius
Asahinea chrysantha
Asclepias lanuginosa
Aspalathus biflora
Asparagus filicinus
Asphodelus lusitanicus
Aspilicia alpina
Asplenium pavonicum
Aster acuminatus
Aster cusickii
Aster hunanensis
Aster nigromontanus
Aster saxicastellii
Aster violaris
Astragalus alopecuroides
Astragalus canadensis
Astragalus diphysus
Astragalus hyalinus
Astragalus menziesii
Astragalus physocarpus
Astragalus sieversianus
Astragalus verus
Asystasia coromandeliana
Atraphaxis spp.
Atriplex leucoclada
Attalea colenda
Austrostipa campylachne
Axonopus purpusii
Baccharis havardii
Bacidia insularis
Bactrospora integrispora
Balsamocitrus dawei
Banksia burdettii
Barbarea longirostris
Barringtonia procera
Bauhinia augusti
Begonia adscendens
Begonia bekopakensis
Begonia chiapensis
Begonia dichroa
Begonia formosissima
Begonia hirsutula
Begonia konder-reisiana
Begonia lyniceorum
Begonia naumoniensis
Begonia peltifolia
Begonia rachmatii
Begonia semidigitata
Begonia symparvifolia
Begonia wagenerana
Bellevalia atroviolacea
Berberis dielsiana
Berberis virgetorum
Besseya alpina
Betula skvortsovii
Bidens cernua
Bignonia diversifolia
Blandfordia punicea
Blumea balsamifera
Boehmeria celebica
Boltonia montana
Borreria densiflora
Botrychium alaskense
Bouteloua ramosa
Brachyglottis elaeagnifolia
Brachythecium fendleri
Brassica caulorapa
Breweria villosa
Brodiaea capitata
Bromus berterianus
Bromus spp.
Bruguiera sexangula
Bryoria pseudocapillaris
Bryum sawyeri
Buellia bahiana
Buelliella inquilina
Bulbophyllum annandalei
Bulbophyllum boninense
Bulbophyllum chryseum
Bulbophyllum cyclopense
Bulbophyllum elliae
Bulbophyllum fuscatum
Bulbophyllum hollandianum
Bulbophyllum kwangtungense
Bulbophyllum odoratissimum
Bumelia rigida
Butyrospermum parkii
Cactus brasiliensis
Cakile cakile
Calamagrostis ×lactea
Calanthe rubens
Calicium corynellum
Callicarpa ampla
Callistemon comboynensis
Calocedrus decurrens
Calophyllum enervosum
Caloplaca ignea
Calothamnus pachystachyus
Calymperes palisotii
Camassia quamash
Camissonia integrifolia
Campanula buseri
Campanula gracillima
Campanula minsteriana
Campanula saxatilis
Camphora micrantha
Campylostelium saxicola
Candelariella coralliza
Capparis baducca
Caragana franchetiana
Cardamine leibergii
Carduus macrolepis
Carex baccans
Carex crus-corvi
