scientific_name,symbol,family,genus,source,rank
Arthonia anjutii,ARAN21,Arthoniaceae,Arthonia,usda,Species
Arthonia apetetica,ARAP3,Arthoniaceae,Arthonia,usda,Species
Arthonia aspera,ARAS3,Arthoniaceae,Arthonia,usda,Species
Arthonia atomaria,ARAT10,Arthoniaceae,Arthonia,usda,Species
Allarthonia caesia,ALCA18,Arthoniaceae,Allarthonia,usda,Species
Arthonia cinnabarina,ARCI7,Arthoniaceae,Arthonia,usda,Species
Arthonia gregaria,ARGR17,Arthoniaceae,Arthonia,usda,Species
Arthonia tumidula,ARTU3,Arthoniaceae,Arthonia,usda,Species
Arthonia clemens,ARCL3,Arthoniaceae,Arthonia,usda,Species
Arthonia epiphyscia,AREP3,Arthoniaceae,Arthonia,usda,Species
Arthonia epimela,AREP4,Arthoniaceae,Arthonia,usda,Species
Celidium varians,CEVA2,Arthoniaceae,Celidium,usda,Species
Arthonia ilicina,ARIL2,Arthoniaceae,Arthonia,usda,Species
Arthothelium ilicinum,ARIL,Arthoniaceae,Arthothelium,usda,Species
Arthonia fusca,ARFU6,Arthoniaceae,Arthonia,usda,Species
Arthonia madreana,ARMA32,Arthoniaceae,Arthonia,usda,Species
Arthonia infectans,ARIN23,Arthoniaceae,Arthonia,usda,Species
Arthonia muscigena,ARMU5,Arthoniaceae,Arthonia,usda,Species
Arthonia leucodontis,ARLE9,Arthoniaceae,Arthonia,usda,Species
Arthonia nephromiaria,ARNE13,Arthoniaceae,Arthonia,usda,Species
Arthonia pruinata,ARPR12,Arthoniaceae,Arthonia,usda,Species
Arthonia impolita,ARIM3,Arthoniaceae,Arthonia,usda,Species
Arthonia peltigerina,ARPE19,Arthoniaceae,Arthonia,usda,Species
Arthonia lurida,ARLU6,Arthoniaceae,Arthonia,usda,Species
Arthonia stellaris,ARST14,Arthoniaceae,Arthonia,usda,Species
Arthonia subfusicola,ARSU24,Arthoniaceae,Arthonia,usda,Species
Arthonia vinosa,ARVI20,Arthoniaceae,Arthonia,usda,Species
Cryptothecia rubrocincta,CRRU11,Arthoniaceae,Cryptothecia,usda,Species
Chiodecton rubrocinctum,CHRU7,Arthoniaceae,Chiodecton,usda,Species
Chiodecton sanguineum,CHSA8,Arthoniaceae,Chiodecton,usda,Species
Herpothallon sanguineum,HESA12,Arthoniaceae,Herpothallon,usda,Species
Cryptothecia striata,CRST13,Arthoniaceae,Cryptothecia,usda,Species
Chiodecton montagnaei,CHMO9,Arthoniaceae,Chiodecton,usda,Species
Lepraria candelaris,LECA50,Chrysotrichaceae,Lepraria,usda,Species
Lepraria citrina,LECI14,Chrysotrichaceae,Lepraria,usda,Species
Lepraria flava,LEFL17,Chrysotrichaceae,Lepraria,usda,Species
Lepraria chlorina,LECH15,Chrysotrichaceae,Lepraria,usda,Species
Acroscyphus sphaerophoroides,ACSP11,Caliciaceae,Acroscyphus,usda,Species
Arthonia alba,ARAL20,Arthoniaceae,Arthonia,usda,Species
Calicium hemisphaericum,CAHE24,Caliciaceae,Calicium,usda,Species
Calicium roscidum,CARO31,Caliciaceae,Calicium,usda,Species
Calicium queenslandiae,CAQU8,Caliciaceae,Calicium,usda,Species
Calicium lentigerellum,CALE40,Caliciaceae,Calicium,usda,Species
Calicium subquercinum,CASU48,Caliciaceae,Calicium,usda,Species
Calicium lichenoides,CALI27,Caliciaceae,Calicium,usda,Species
Calicium sphaerocephalum,CASP25,Caliciaceae,Calicium,usda,Species
Calicium trachelinum,CATR25,Caliciaceae,Calicium,usda,Species
Calicium hyperellum,CAHY11,Caliciaceae,Calicium,usda,Species
Cyphelium ventricosulum,CYVE2,Caliciaceae,Cyphelium,usda,Species
Cyphelium andersonii,CYAN7,Caliciaceae,Cyphelium,usda,Species
Cyphelium californicum,CYCA20,Caliciaceae,Cyphelium,usda,Species
Cyphelium farlowii,CYFA6,Caliciaceae,Cyphelium,usda,Species
Cyphelium santi-jacobi,CYSA6,Caliciaceae,Cyphelium,usda,Species
Cyphelium carolinianum,CYCA21,Caliciaceae,Cyphelium,usda,Species
Cypheliopsis bolanderi,CYBO4,Caliciaceae,Cypheliopsis,usda,Species
Cyphelium ocellatum,CYOC6,Caliciaceae,Cyphelium,usda,Species
Cyphelium caliciforme,CYCA19,Caliciaceae,Cyphelium,usda,Species
Cyphelium occidentale,CYOC5,Caliciaceae,Cyphelium,usda,Species
Chaenotheca hygophila,CHHY5,Coniocybaceae,Chaenotheca,usda,Species
Chaenotheca sulphurea,CHSU18,Coniocybaceae,Chaenotheca,usda,Species
Coniocybe sulphurea,COSU16,Coniocybaceae,Coniocybe,usda,Species
Chaenotheca carthusiae,CHCA32,Coniocybaceae,Chaenotheca,usda,Species
Chaenotheca schaereri,CHSC8,Coniocybaceae,Chaenotheca,usda,Species
Chaenotheca melanophaea,CHME9,Coniocybaceae,Chaenotheca,usda,Species
Chaenotheca floridana,CHFL10,Coniocybaceae,Chaenotheca,usda,Species
Coniocybe gracillima,COGR17,Coniocybaceae,Coniocybe,usda,Species
Cybebe gracilenta,CYGR14,Coniocybaceae,Cybebe,usda,Species
Chaenotheca gracilenta,CHGR19,Coniocybaceae,Chaenotheca,usda,Species
Sclerophora amabilis,SCAM10,Coniocybaceae,Sclerophora,usda,Species
Sclerophora coniophaea,SCCO22,Coniocybaceae,Sclerophora,usda,Species
Coniocybe nivea,CONI9,Coniocybaceae,Coniocybe,usda,Species
Coniocybe pallida,COPA31,Coniocybaceae,Coniocybe,usda,Species
Sclerophora peronella,SCPE10,Coniocybaceae,Sclerophora,usda,Species
Coniocybe furfuracea,COFU6,Coniocybaceae,Coniocybe,usda,Species
Calicium disseminatum,CADI36,Caliciaceae,Calicium,usda,Species
Microcalicium subpedicellatum,MISU8,Microcaliciaceae,Microcalicium,usda,Species
Mycocalicium disseminatum,MYDI2,Microcaliciaceae,Mycocalicium,usda,Species
Coniocybopsis arenaria,COAR13,Microcaliciaceae,Coniocybopsis,usda,Species
Chaenothecopsis norstictica,CHNO4,Mycocaliciaceae,Chaenothecopsis,usda,Species
Chaenothecopsis pilosa,CHPI10,Mycocaliciaceae,Chaenothecopsis,usda,Species
Calicium asikkalense,CAAS11,Caliciaceae,Calicium,usda,Species
Calicium floerkei,CAFL34,Caliciaceae,Calicium,usda,Species
Calicium pusillum,CAPU36,Caliciaceae,Calicium,usda,Species
Calicium subpusillum,CASU47,Caliciaceae,Calicium,usda,Species
Chaenothecopsis subpusilla,CHSU16,Mycocaliciaceae,Chaenothecopsis,usda,Species
Calicium pusiolum,CAPU37,Caliciaceae,Calicium,usda,Species
Chaenothecopsis lignicola,CHLI10,Mycocaliciaceae,Chaenothecopsis,usda,Species
Mycocalicium pusiolum,MYPU4,Microcaliciaceae,Mycocalicium,usda,Species
Chaenothecopsis rappii,CHRA7,Mycocaliciaceae,Chaenothecopsis,usda,Species
Chaenotheca savonica,CHSA7,Coniocybaceae,Chaenotheca,usda,Species
Mycocalicium savonicum,MYSA6,Microcaliciaceae,Mycocalicium,usda,Species
Calicium albonigrum,CAAL30,Caliciaceae,Calicium,usda,Species
Sphinctrinella calicioides,SPCA9,Mycocaliciaceae,Sphinctrinella,usda,Species
Calicium fuscipes,CAFU6,Caliciaceae,Calicium,usda,Species
Calicium ravenelii,CARA17,Caliciaceae,Calicium,usda,Species
Calicium subtile,CASU49,Caliciaceae,Calicium,usda,Species
Mycocalicium parietinum,MYPA5,Microcaliciaceae,Mycocalicium,usda,Species
Mycocalicium compressulum,MYCO8,Microcaliciaceae,Mycocalicium,usda,Species
Calicium populneum,CAPO16,Caliciaceae,Calicium,usda,Species
Calicium curtisii,CACU16,Caliciaceae,Calicium,usda,Species
Stenocybe clavata,STCL6,Mycocaliciaceae,Stenocybe,usda,Species
Stenocybe euspora,STEU,Mycocaliciaceae,Stenocybe,usda,Species
Calicium minutissimum,CAMI42,Caliciaceae,Calicium,usda,Species
Bunodophoron melanocarpum,BUME3,Sphaerophoraceae,Bunodophoron,usda,Species
Sphaerophorus melanocarpus,SPME60,Sphaerophoraceae,Sphaerophorus,usda,Species
Stenocybe byssacea,STBY2,Mycocaliciaceae,Stenocybe,usda,Species
Sphaerophorus tuckermanii,SPTU4,Sphaerophoraceae,Sphaerophorus,usda,Species
Calicium microcephalum,CAMI41,Caliciaceae,Calicium,usda,Species
Mycocalicium microcephalum,MYMI5,Microcaliciaceae,Mycocalicium,usda,Species
Sphinctrina microcephala,SPMI7,Sphinctrinaceae,Sphinctrina,usda,Species
Sphinctrina microcephala,SPMI8,Sphinctrinaceae,Sphinctrina,usda,Species
Karschia athallina,KAAT,Dactylosporaceae,Karschia,usda,Species
Dactylospora deminuta,DADE3,Dactylosporaceae,Dactylospora,usda,Species
Buellia glaucomarioides,BUGL4,Dactylosporaceae,Buellia,usda,Species
Buellia inquilina,BUIN2,Dactylosporaceae,Buellia,usda,Species
Buelliella inquilina,BUIN4,Dactylosporaceae,Buelliella,usda,Species
Buelliella nuttallii,BUNU,Dactylosporaceae,Buelliella,usda,Species
Leciographa inspersa,LEIN27,Dactylosporaceae,Leciographa,usda,Species
Leciographa parasitica,LEPA35,Dactylosporaceae,Leciographa,usda,Species
Dactylospora parellaria,DAPA8,Dactylosporaceae,Dactylospora,usda,Species
Buellia pertusariicola,BUPE2,Dactylosporaceae,Buellia,usda,Species
Leciographa pertusariicola,LEPE25,Dactylosporaceae,Leciographa,usda,Species
Buelliella saxatilis,BUSA5,Dactylosporaceae,Buelliella,usda,Species
Leciographa urceolata,LEUR2,Dactylosporaceae,Leciographa,usda,Species
Arthopyrenia analepta,ARAN14,Arthopyreniaceae,Arthopyrenia,usda,Species
Arthopyrenia fallax,ARFA6,Arthopyreniaceae,Arthopyrenia,usda,Species
Arthopyrenia lapponica,ARLA26,Arthopyreniaceae,Arthopyrenia,usda,Species
Polyblastiopsis fallax,POFA6,Arthopyreniaceae,Polyblastiopsis,usda,Species
Arthopyrenia pinicola,ARPI5,Arthopyreniaceae,Arthopyrenia,usda,Species
Arthopyrenia confluens,ARCO35,Arthopyreniaceae,Arthopyrenia,usda,Species
Arthopyrenia degelii,ARDE10,Arthopyreniaceae,Arthopyrenia,usda,Species
Arthopyrenia esenbeckiana,ARES6,Arthopyreniaceae,Arthopyrenia,usda,Species
Arthopyrenia exasperata,AREX5,Arthopyreniaceae,Arthopyrenia,usda,Species
Arthopyrenia bifera,ARBI10,Arthopyreniaceae,Arthopyrenia,usda,Species
Arthopyrenia oblongens,AROB7,Arthopyreniaceae,Arthopyrenia,usda,Species
Porina plumbaria,POPL8,Arthopyreniaceae,Porina,usda,Species
Pyrenula herrei,PYHE,Arthopyreniaceae,Pyrenula,usda,Species
Jarixa ilicicola,JAIL,Arthopyreniaceae,Jarixa,usda,Species
Jarixa thelenula,JATH,Arthopyreniaceae,Jarixa,usda,Species
Arthopyrenia taxodii,ARTA5,Arthopyreniaceae,Arthopyrenia,usda,Species
Leptorhaphis lucida,LELU8,Arthopyreniaceae,Leptorhaphis,usda,Species
Mycomicrothelia hemisphaerica,MYHE4,Arthopyreniaceae,Mycomicrothelia,usda,Species
Microthelia oblongula,MIOB3,Arthopyreniaceae,Microthelia,usda,Species
Microthelia wallrothii,MIWA4,Arthopyreniaceae,Microthelia,usda,Species
Microthelia willeyana,MIWI,Arthopyreniaceae,Microthelia,usda,Species
Tomasellia macularis,TOMA3,Arthopyreniaceae,Tomasellia,usda,Species
Dacampia hookeri,DAHO,Dacampiaceae,Dacampia,usda,Species
Polycoccum pulvinatum,POPU18,Dacampiaceae,Polycoccum,usda,Species
Polycoccum galligenum,POGA2,Dacampiaceae,Polycoccum,usda,Species
Polycoccum sporastatiae,POSP16,Dacampiaceae,Polycoccum,usda,Species
Polycoccum epicrassum,POEP4,Dacampiaceae,Polycoccum,usda,Species
Lichenostigma elongata,LIEL6,Lichenotheliaceae,Lichenostigma,usda,Species
Lichenostigma maureri,LIMA15,Lichenotheliaceae,Lichenostigma,usda,Species
Abrothallus usneae,ABUS,Lichenotheliaceae,Abrothallus,usda,Species
Pyrenidum actinellum,PYAC2,Dacampiaceae,Pyrenidum,usda,Species
Microthelia metzleri,MIME6,Arthopyreniaceae,Microthelia,usda,Species
Microthelia aterrima,MIAT2,Arthopyreniaceae,Microthelia,usda,Species
Rinodina aterrima,RIAT3,Lichenotheliaceae,Rinodina,usda,Species
Arthopyrenia cavata,ARCA40,Arthopyreniaceae,Arthopyrenia,usda,Species
Arthopyrenia conoidea,ARCO31,Arthopyreniaceae,Arthopyrenia,usda,Species
Arthopyrenia alba,ARAL21,Arthopyreniaceae,Arthopyrenia,usda,Species
Arthopyrenia gemmata,ARGE4,Arthopyreniaceae,Arthopyrenia,usda,Species
Arthopyrenia sphaeroides,ARSP12,Arthopyreniaceae,Arthopyrenia,usda,Species
Arthopyrenia finkii,ARFI7,Arthopyreniaceae,Arthopyrenia,usda,Species
Arthopyrenia macrospora,ARMA26,Arthopyreniaceae,Arthopyrenia,usda,Species
Pyrenula megalospora,PYME3,Arthopyreniaceae,Pyrenula,usda,Species
Arthopyrenia ambigua,ARAM5,Arthopyreniaceae,Arthopyrenia,usda,Species
Ditremis ambigua,DIAM7,Monoblastiaceae,Ditremis,usda,Species
Anisomeridium anisolobum,ANAN14,Monoblastiaceae,Anisomeridium,usda,Species
Anisomeridium feeanum,ANFE4,Monoblastiaceae,Anisomeridium,usda,Species
Ditremis anisoloba,DIAN6,Monoblastiaceae,Ditremis,usda,Species
Anisomeridium aureopunctatum,ANAU4,Monoblastiaceae,Anisomeridium,usda,Species
Ditremis macrospora,DIMA20,Monoblastiaceae,Ditremis,usda,Species
Arthopyrenia biformis,ARBI11,Arthopyreniaceae,Arthopyrenia,usda,Species
Arthopyrenia conformis,ARCO30,Arthopyreniaceae,Arthopyrenia,usda,Species
Arthopyrenia parvula,ARPA32,Arthopyreniaceae,Arthopyrenia,usda,Species
Ditremis biformis,DIBI6,Monoblastiaceae,Ditremis,usda,Species
Anisomeridium biformoides,ANBI5,Monoblastiaceae,Anisomeridium,usda,Species
Arthopyrenia carinthiaca,ARCA39,Arthopyreniaceae,Arthopyrenia,usda,Species
Arthopyrenia dimidiata,ARDI23,Arthopyreniaceae,Arthopyrenia,usda,Species
Ditremis carinthiaca,DICA32,Monoblastiaceae,Ditremis,usda,Species
Arthopyrenia distans,ARDI24,Arthopyreniaceae,Arthopyrenia,usda,Species
Ditremis distans,DIDI17,Monoblastiaceae,Ditremis,usda,Species
Anisomeridium excaecariae,ANEX5,Monoblastiaceae,Anisomeridium,usda,Species
Anisomeridium sanfordense,ANSA6,Monoblastiaceae,Anisomeridium,usda,Species
Arthopyrenia sanfordensis,ARSA14,Arthopyreniaceae,Arthopyrenia,usda,Species
Ditremis sanfordensis,DISA13,Monoblastiaceae,Ditremis,usda,Species
Anisomeridium finkii,ANFI5,Monoblastiaceae,Anisomeridium,usda,Species
Ditremis finkii,DIFI2,Monoblastiaceae,Ditremis,usda,Species
Anisomeridium griffinii,ANGR10,Monoblastiaceae,Anisomeridium,usda,Species
Anisomeridium juistense,ANJU3,Monoblastiaceae,Anisomeridium,usda,Species
Arthopyrenia willeyana,ARWI3,Arthopyreniaceae,Arthopyrenia,usda,Species
Ditremis nyssigena,DINY,Monoblastiaceae,Ditremis,usda,Species
Anisomeridium phaeospermum,ANPH4,Monoblastiaceae,Anisomeridium,usda,Species
Anisomeridium quaternarium,ANQU4,Monoblastiaceae,Anisomeridium,usda,Species
Ditremis quaternaria,DIQU2,Monoblastiaceae,Ditremis,usda,Species
Anisomeridium quadricoccum,ANQU5,Monoblastiaceae,Anisomeridium,usda,Species
Ditremis albiseda,DIAL10,Monoblastiaceae,Ditremis,usda,Species
Arthopyrenia leucochlora,ARLE11,Arthopyreniaceae,Arthopyrenia,usda,Species
Ditremis leucochlora,DILE10,Monoblastiaceae,Ditremis,usda,Species
Ditremis tamarindii,DITA2,Monoblastiaceae,Ditremis,usda,Species
Anisomeridium terminatum,ANTE12,Monoblastiaceae,Anisomeridium,usda,Species
Arthopyrenia anacardii,ARAN13,Arthopyreniaceae,Arthopyrenia,usda,Species
Ditremis terminata,DITE9,Monoblastiaceae,Ditremis,usda,Species
Pleurotrema anacardii,PLAN2,Monoblastiaceae,Pleurotrema,usda,Species
Arthopyrenia subprostans,ARSU22,Arthopyreniaceae,Arthopyrenia,usda,Species
Ditremis subprostans,DISU8,Monoblastiaceae,Ditremis,usda,Species
Ditremis tuckerae,DITU,Monoblastiaceae,Ditremis,usda,Species
Monoblastia borinquensis,MOBO2,Monoblastiaceae,Monoblastia,usda,Species
Monoblastia buckei,MOBU,Monoblastiaceae,Monoblastia,usda,Species
Monoblastia cypressi,MOCY2,Monoblastiaceae,Monoblastia,usda,Species
Mycoporum acervatum,MYAC3,Mycoporaceae,Mycoporum,usda,Species
Mycoporum antecellens,MYAN,Mycoporaceae,Mycoporum,usda,Species
Arthopyrenia antecellens,ARAN11,Arthopyreniaceae,Arthopyrenia,usda,Species
Mycoporum buckii,MYBU2,Mycoporaceae,Mycoporum,usda,Species
Mycoporum californicum,MYCA15,Mycoporaceae,Mycoporum,usda,Species
Mycoporellum californicum,MYCA8,Mycoporaceae,Mycoporellum,usda,Species
Tomasellia californica,TOCA3,Arthopyreniaceae,Tomasellia,usda,Species
Dermatina pyrenocarpa,DEPY,Mycoporaceae,Dermatina,usda,Species
Mycoporum ohiense,MYOH,Mycoporaceae,Mycoporum,usda,Species
Mycoporum pycnocarpum,MYPY2,Mycoporaceae,Mycoporum,usda,Species
Mycoporum eschweileri,MYES,Mycoporaceae,Mycoporum,usda,Species
Tomasellia eschweileri,TOES,Arthopyreniaceae,Tomasellia,usda,Species
Mycoporum lacteum,MYLA8,Mycoporaceae,Mycoporum,usda,Species
Mycoporellum difforme,MYDI3,Mycoporaceae,Mycoporellum,usda,Species
Mycoporellum hassei,MYHA3,Mycoporaceae,Mycoporellum,usda,Species
Tomasellia lactea,TOLA3,Arthopyreniaceae,Tomasellia,usda,Species
Mycoporum mycoporoides,MYMY3,Mycoporaceae,Mycoporum,usda,Species
Mycoporum sparsellum,MYSP6,Mycoporaceae,Mycoporum,usda,Species
Mycoporellum sparsellum,MYSP4,Mycoporaceae,Mycoporellum,usda,Species
Tomasellia sparsella,TOSP2,Arthopyreniaceae,Tomasellia,usda,Species
Mycoporum uniloculatum,MYUN,Mycoporaceae,Mycoporum,usda,Species
Sphaerellothecium minutum,SPMI11,Mycosphaerellaceae,Sphaerellothecium,usda,Species
Sphaerulina dolichotera,SPDO3,Mycosphaerellaceae,Sphaerulina,usda,Species
Stigmidium atryneae,STAT4,Mycosphaerellaceae,Stigmidium,usda,Species
Stigmidium congestum,STCO21,Mycosphaerellaceae,Stigmidium,usda,Species
Stigmidium ephebes,STEP2,Mycosphaerellaceae,Stigmidium,usda,Species
Pharcidia ephebes,PHEP3,Mycosphaerellaceae,Pharcidia,usda,Species
Sphaerellothecium abditum,SPAB,Mycosphaerellaceae,Sphaerellothecium,usda,Species
Sphaerellothecium araneosum,SPAR8,Mycosphaerellaceae,Sphaerellothecium,usda,Species
Stigmidium fuscatae,STFU3,Mycosphaerellaceae,Stigmidium,usda,Species
