genus,family
Abama,Liliaceae Juss.
Abelia,Caprifoliaceae Juss.
Abelmoschus,Malvaceae Juss.
Aberia,Flacourtiaceae Rich. ex DC.
Abies,Pinaceae
Abietinella,Thuidiaceae Schimp.
Abildgaardia,Cyperaceae Juss.
Abortopetalum,Malvaceae Juss.
Abrodictyum,Hymenophyllaceae Mart.
Abroma,Sterculiaceae Vent.
Abronia,Nyctaginaceae Juss.
Abrothallus,Lichenotheliaceae Henssen
Abrus,Fabaceae Lindl.
Absconditella,Stictidaceae Fr.
Abutilon,Malvaceae Juss.
Acacia,Fabaceae Lindl.
Acaciella,Fabaceae Lindl.
Acaciopsis,Fabaceae Lindl.
Acaena,Rosaceae Juss.
Acalypha,Euphorbiaceae Juss.
Acamptoclados,Poaceae Barnhart
Acamptopappus,Asteraceae Bercht. & J. Presl
Acanthocereus,Cactaceae Juss.
Acanthochiton,Amaranthaceae Martinov
Acanthocladium,Sematophyllaceae Broth.
Acanthogonum,Polygonaceae Juss.
Acanthomintha,Lamiaceae Martinov
Acanthopanax,Araliaceae Juss.
Acanthospermum,Asteraceae Bercht. & J. Presl
Acanthoxanthium,Asteraceae Bercht. & J. Presl
Acanthus,Acanthaceae Juss.
Acarospora,Acarosporaceae Zahlbr.
Acaulon,Gigaspermaceae A. Jaeger & Sauerb.
Acer,Sapindaceae
Acerates,Asclepiadaceae Borkh.
Acetosa,Polygonaceae Juss.
Acetosella,Polygonaceae Juss.
Achaetogeron,Asteraceae Bercht. & J. Presl
Achillea,Asteraceae
Achlys,Berberidaceae Juss.
Achnatherum,Poaceae
Achras,Sapotaceae Juss.
Achroschizocarpus,Brassicaceae Burnett
Achyrachaena,Asteraceae Bercht. & J. Presl
Achyranthes,Amaranthaceae Martinov
Achyronychia,Caryophyllaceae Juss.
Achyrophorus,Asteraceae Bercht. & J. Presl
Acicarpha,Calyceraceae R. Br. ex Rich.
Acidanthera,Iridaceae Juss.
Acinos,Lamiaceae Martinov
Aciphylla,Apiaceae Lindl.
Acisanthera,Melastomataceae Juss.
Acleisanthes,Nyctaginaceae Juss.
Acmella,Asteraceae Bercht. & J. Presl
Acmispon,Fabaceae Lindl.
Acnida,Amaranthaceae Martinov
Acnistus,Solanaceae Juss.
Acoelorraphe,Arecaceae Bercht. & J. Presl
Acoelorrhaphe,Arecaceae Bercht. & J. Presl
Acomastylis,Rosaceae Juss.
Aconitum,Ranunculaceae Juss.
Aconogonon,Polygonaceae Juss.
Aconogonum,Polygonaceae Juss.
Acorus,Acoraceae Martinov
Acosta,Asteraceae Bercht. & J. Presl
Acourtia,Asteraceae Bercht. & J. Presl
Acrachne,Poaceae Barnhart
Acriopsis,Orchidaceae Juss.
Acrobolbus,Acrobolbaceae E.A. Hodgs.
Acroceras,Poaceae Barnhart
Acrocladium,Amblystegiaceae Kindb.
Acroclinium,Asteraceae Bercht. & J. Presl
Acrocomia,Arecaceae Bercht. & J. Presl
Acrocordia,Monoblastiaceae Walt. Watson
Acrodiclidium,Lauraceae Juss.
Acrolasia,Loasaceae Juss.
Acrolejeunea,Lejeuneaceae Rostovzev
Acronychia,Rutaceae Juss.
Acroporium,Sematophyllaceae Broth.
Acroptilon,Asteraceae Bercht. & J. Presl
Acroscyphus,Caliciaceae Chevall.
Acrostichum,Dryopteridaceae Herter
Actaea,Ranunculaceae Juss.
Actinea,Asteraceae Bercht. & J. Presl
Actinella,Asteraceae Bercht. & J. Presl
Actinidia,Actinidiaceae Engl. & Gilg
Actinogyra,Umbilicariaceae Chevall.
Actinomeris,Asteraceae Bercht. & J. Presl
Actinospermum,Asteraceae Bercht. & J. Presl
Actinostachys,Schizaeaceae Kaulf.
Acuan,Fabaceae Lindl.
Adansonia,Bombacaceae Kunth
Adelia,Euphorbiaceae Juss.
Adelinia,Boraginaceae Juss.
Adelococcus,Verrucariaceae Eschw.
Adelolecia,Bacidiaceae Walt. Watson
Adenanthera,Fabaceae Lindl.
Adenium,Apocynaceae Juss.
Adenocarpus,Fabaceae Lindl.
Adenocaulon,Asteraceae Bercht. & J. Presl
Adenolinum,Linaceae DC. ex Perleb
Adenophorus,Grammitidaceae Newman
Adenophyllum,Asteraceae Bercht. & J. Presl
Adenoplea,Buddlejaceae K. Wilh.
Adenorachis,Rosaceae Juss.
Adenoropium,Euphorbiaceae Juss.
Adenosma,Scrophulariaceae Juss.
Adenostemma,Asteraceae Bercht. & J. Presl
Adenostoma,Rosaceae Juss.
Adesmia,Fabaceae Lindl.
Adhatoda,Acanthaceae Juss.
Adiantopsis,Pteridaceae E.D.M. Kirchn.
Adiantum,Pteridaceae E.D.M. Kirchn.
Adicea,Urticaceae Juss.
Adipera,Fabaceae Lindl.
Adlumia,Fumariaceae Marquis
Adolphia,Rhamnaceae Juss.
Adonis,Ranunculaceae Juss.
Adoxa,Adoxaceae E. Mey.
Aechmea,Bromeliaceae Juss.
Aegilops,Poaceae Barnhart
Aeginetia,Orobanchaceae Vent.
Aegiphila,Verbenaceae J. St.-Hil.
Aegle,Rutaceae Juss.
Aegopodium,Apiaceae Lindl.
Aegopogon,Poaceae Barnhart
Aeluropus,Poaceae Barnhart
Aeonium,Crassulaceae J. St.-Hil.
Aeria,Arecaceae Bercht. & J. Presl
Aerva,Amaranthaceae Martinov
Aesandra,Sapotaceae Juss.
Aeschrion,Simaroubaceae DC.
Aeschynomene,Fabaceae Lindl.
Aesculus,Hippocastanaceae A. Rich.
Aethionema,Brassicaceae Burnett
Aethusa,Apiaceae Lindl.
Aframomum,Zingiberaceae Martinov
Afrocarpus,Podocarpaceae Endl.
Afzelia,Scrophulariaceae Juss.
Agalinis,Scrophulariaceae Juss.
Agaloma,Euphorbiaceae Juss.
Aganope,Fabaceae Lindl.
Agapanthus,Liliaceae Juss.
Agarista,Asteraceae Bercht. & J. Presl
Agassizia,Asteraceae Bercht. & J. Presl
Agastache,Lamiaceae Martinov
Agathis,Araucariaceae Henkel & W. Hochst.
Agathosma,Rutaceae Juss.
Agati,Fabaceae Lindl.
Agave,Agavaceae Dumort.
Agdestis,Phytolaccaceae R. Br.
Ageratina,Asteraceae Bercht. & J. Presl
Ageratum,Asteraceae Bercht. & J. Presl
Aglaia,Meliaceae Juss.
Aglaonema,Araceae Juss.
Aglossorrhyncha,Orchidaceae Juss.
Agnorhiza,Asteraceae Bercht. & J. Presl
Agonimia,Verrucariaceae Eschw.
Agoseris,Asteraceae Bercht. & J. Presl
Agrestia,Hymeneliaceae Körb.
Agrimonia,Rosaceae Juss.
Agropyron,Poaceae
Agrostemma,Caryophyllaceae Juss.
Agrostis,Poaceae Barnhart
Agrostophyllum,Orchidaceae Juss.
Agyneia,Euphorbiaceae Juss.
Agyrium,Agyriaceae Corda
Agyrophora,Umbilicariaceae Chevall.
Ahlesia,Acarosporaceae Zahlbr.
